Année publication;Code département;Nombre  d'habitants;Densité de population au km2;Variation de la population sur 10 ans (en %);Dont contribution du solde naturel (en %);Dont contribution du solde migratoire (en %);% population de moins de 20 ans;% population de 60 ans et plus;Taux de chômage au T4 (en %);Taux de pauvreté* (en %)
2021;84;560425;157.0;3.189070253;2.838493477;0.350576776;23.0;29.0;10.1;20.0
2021;56;760313;111.0;5.356561358;-0.980659787;6.337221145;22.0;32.0;6.6;11.2
2021;51;563834;69.0;-0.260566383;2.732143773;-2.992710156;24.0;26.0;7.6;14.4
2021;14;693310;124.0;1.49391382;1.152092284;0.341821535;23.0;28.0;7.2;12.4
2021;47;330756;61.0;-0.110834947;-1.887818122;1.776983175;21.0;33.0;7.9;17.0
2021;2A;161208;40.0;12.26183844;-0.520891365;12.78272981;20.0;31.0;6.6;16.1
2021;90;139866;229.0;-2.130696727;2.596721036;-4.727417764;23.0;27.0;8.6;14.5
2021;25;542997;103.0;2.885158308;3.935615893;-1.050457586;24.0;25.0;7.2;12.1
2021;17;650757;94.0;4.569009984;-2.959556372;7.528566355;20.0;35.0;8.0;12.8
2021;60;829408;141.0;3.21219022;4.948885944;-1.736695724;26.0;23.0;8.0;12.9
2021;63;666274;83.0;5.371249274;0.722903761;4.648345514;22.0;28.0;6.8;13.2
2021;26;520531;79.0;7.389084307;2.529733967;4.85935034;24.0;28.0;8.5;14.8
2021;85;687477;102.0;8.301957535;0.184158871;8.117798663;22.0;32.0;6.2;9.2
2021;45;682187;100.0;3.975278347;3.54104907;0.434229277;25.0;26.0;7.2;13.2
2021;13;2044355;401.0;3.668171386;4.365071718;-0.696900333;23.0;26.0;9.2;18.7
2021;44;1442940;211.0;12.54925697;4.426965521;8.122291452;25.0;24.0;6.7;10.3
2021;9;153113;31.0;0.707060077;-3.136715821;3.843775898;20.0;34.0;9.9;18.0
2021;54;731533;139.0;-0.092050472;1.893590201;-1.985640673;23.0;26.0;7.5;15.4
2021;23;115555;20.0;-6.074990449;-8.593095937;2.518105487;17.0;39.0;7.0;18.7
2021;58;201755;29.0;-8.11944404;-5.496757505;-2.622686535;19.0;38.0;6.2;15.7
2021;2;528471;71.0;-2.226979064;1.227548898;-3.454527963;24.0;27.0;11.0;18.4
2021;72;563536;90.0;0.003194219;1.505187057;-1.501992838;24.0;29.0;7.7;13.1
2021;82;261307;70.0;8.113017071;0.975597647;7.137419424;24.0;29.0;9.2;17.0
2021;29;913187;135.0;1.733346108;-1.318474914;3.051821022;22.0;30.0;6.6;10.6
2021;46;174146;33.0;-0.24745386;-4.910126133;4.662672273;18.0;38.0;7.8;15.0
2021;22;599271;87.0;1.289633409;-2.411259531;3.70089294;22.0;33.0;6.8;11.7
2021;59;2601802;453.0;0.971448752;4.726964378;-3.755515626;26.0;23.0;9.8;19.1
2021;2B;184659;39.0;12.32022522;-0.341749218;12.66197443;20.0;29.0;7.3;20.6
2021;92;1628798;9254.0;3.580817684;9.008896718;-5.428079034;24.0;20.0;6.8;11.9
2021;6;1088178;253.0;0.875938257;0.495305123;0.380633134;21.0;31.0;8.9;15.8
2021;1;657907;114.0;10.13926719;4.072715585;6.066551601;25.0;24.0;6.0;10.3
2021;39;258766;51.0;-1.058370996;-0.409124626;-0.649246369;22.0;31.0;5.4;11.8
2021;53;306123;59.0;-0.069857706;1.631862948;-1.701720654;24.0;29.0;5.3;11.5
2021;43;227878;45.0;1.728525129;-1.684776301;3.413301429;22.0;32.0;6.1;12.1
2021;88;361749;61.0;-4.73370132;-1.624601026;-3.109100294;21.0;32.0;8.2;15.4
2021;67;1143364;240.0;4.330576099;3.426300637;0.904275462;22.0;25.0;6.9;13.7
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
2022;13;2056455;402.0;4.08;4.24;-0.17;24.0;27.0;9.1;17.9
2022;31;1434439;223.0;13.82;5.86;7.96;24.0;22.0;8.0;13.3
2022;11;378068;61.0;5.03;-2.7;7.73;21.0;34.0;10.5;20.0
2022;22;600924;87.0;1.1;-3.24;4.34;22.0;34.0;6.8;12.1
2022;4;165171;24.0;2.62;-2.72;5.33;21.0;35.0;9.1;16.6
2022;45;684609;101.0;3.79;3.35;0.44;25.0;27.0;7.2;13.2
2022;57;1045213;167.0;0.01;0.76;-0.76;22.0;28.0;7.8;15.3
2022;2B;185528;40.0;10.01;-0.77;10.78;20.0;30.0;7.3;20.1
2022;1;660875;114.0;9.45;4.0;5.45;26.0;24.0;5.9;10.5
2022;12;279997;32.0;1.52;-4.34;5.86;20.0;35.0;5.9;14.0
2022;37;612237;99.0;3.13;1.43;1.69;23.0;29.0;6.8;12.4
2022;73;439852;72.0;4.99;2.24;2.74;23.0;28.0;6.5;10.3
2022;83;1090123;181.0;7.64;-1.04;8.68;21.0;34.0;8.2;15.3
2022;78;1457875;635.0;3.13;7.68;-4.55;27.0;23.0;6.7;9.7
2022;81;392053;68.0;3.81;-2.09;5.89;22.0;33.0;8.0;15.3
2022;93;1668164;7025.0;9.04;13.99;-4.96;29.0;17.0;10.9;27.6
2022;973;290528;3.0;22.3;29.57;-7.27;41.0;10.0;14.5;
2022;44;1461267;212.0;12.72;4.43;8.29;25.0;24.0;6.5;10.0
2022;48;76604;15.0;-0.72;-5.01;4.29;20.0;34.0;4.9;14.9
2022;36;216392;32.0;-5.99;-5.64;-0.35;20.0;36.0;7.4;14.6
2022;63;669014;84.0;5.28;0.32;4.96;22.0;29.0;6.8;13.2
2022;8;267127;51.0;-5.65;-0.65;-5.0;23.0;30.0;9.5;18.3
2022;17;656951;95.0;5.0;-3.91;8.91;20.0;36.0;7.9;12.4
2022;21;534164;61.0;1.57;1.22;0.34;22.0;28.0;5.8;11.5
2022;74;841639;190.0;12.67;6.28;6.39;25.0;23.0;6.5;9.4
2022;51;563998;69.0;-0.45;2.43;-2.88;24.0;26.0;7.4;14.2
2022;91;1310435;726.0;6.96;9.5;-2.55;27.0;21.0;6.9;13.2
2022;59;2607879;453.0;1.11;4.55;-3.43;26.0;24.0;9.8;18.4
2022;75;2147716;20515.0;-4.54;6.75;-11.3;19.0;23.0;6.4;15.4
2022;82;262863;70.0;7.49;0.52;6.97;24.0;29.0;9.1;16.3
2022;15;143790;25.0;-2.57;-6.95;4.39;19.0;37.0;4.3;13.2
2022;77;1436063;241.0;7.29;8.07;-0.77;27.0;21.0;7.3;11.7
2022;2;526857;72.0;-2.67;0.55;-3.22;25.0;28.0;11.1;18.0
2022;90;138931;230.0;-3.08;1.92;-5.0;24.0;27.0;9.0;14.8
2022;52;168391;27.0;-7.67;-2.83;-4.84;21.0;33.0;6.5;15.0
2022;32;191910;31.0;1.6;-5.01;6.61;20.0;36.0;6.1;15.0
2022;62;1460003;219.0;-0.19;1.84;-2.03;25.0;26.0;9.0;17.8
2022;19;239019;41.0;-1.42;-5.37;3.95;20.0;36.0;6.4;13.1
2022;72;565314;91.0;-0.07;0.98;-1.05;24.0;29.0;7.7;12.9
