Année publication;Code département;Nombre  d'habitants;Densité de population au km2;Variation de la population sur 10 ans (en %);Dont contribution du solde naturel (en %);Dont contribution du solde migratoire (en %);% population de moins de 20 ans;% population de 60 ans et plus;Taux de chômage au T4 (en %);Taux de pauvreté* (en %)
2023;22;605211;88.0;1.82;-3.2399999999999998;5.07;22.112783805978413;33.9172619136136;6.2;12.1
2023;21;535275;61.0;1.78;1.22;0.5599999999999999;22.500770631918172;27.99252720564196;5.6000000000000005;11.5
2023;24;412686;46.0;-0.6;-5.91;5.319999999999999;18.787165060118348;37.84039196871229;7.1;16.1
2023;40;421672;46.0;8.7;-2.23;10.93;20.770646379176235;33.293887191940655;6.800000000000001;11.4
2023;94;1413781;5771.0;6.0;9.81;-3.81;25.394951551902313;20.747555668098524;7.000000000000001;16.6
2023;32;192159;31.0;1.73;-5.01;6.74;20.016756956478748;36.100312761827446;0.0;15.0
2023;59;2607335;454.0;1.09;4.55;-3.46;25.89582849921472;23.536216098046474;9.2;18.4
2023;23;115050;21.0;-6.13;-9.86;3.73;18.050412863972188;39.510647544545854;6.800000000000001;18.3
2023;86;440161;63.0;2.73;0.27;2.4699999999999998;23.060425616990145;28.943727408834498;5.800000000000001;14.0
2023;46;174907;34.0;0.09;-5.8999999999999995;5.9799999999999995;18.78255301388738;38.693705797938335;7.3;14.9
2023;12;279571;32.0;1.3599999999999999;-4.34;5.7;20.015309170121366;35.44359035808435;5.6000000000000005;14.0
2023;34;1203908;197.0;13.36;2.3800000000000003;10.979999999999999;22.702814500775805;28.07166328324091;9.9;18.7
2023;44;1462506;215.0;12.82;4.43;8.39;24.86759028680908;24.59367688064186;5.5;10.0
2023;10;311831;52.0;2.58;0.48;2.1;24.45587513749435;28.298661775128192;9.4;16.2
2023;48;76593;15.0;-0.73;-5.01;4.279999999999999;20.798245270455524;33.19885629235048;4.6;14.9
2023;39;257991;52.0;-1.26;-1.16;-0.1;22.257753177436424;31.270083064913116;5.2;11.2
2023;90;138976;228.0;-3.05;1.92;-4.97;23.737192033156802;27.09244761685471;8.1;14.8
2023;60;830560;142.0;3.09;4.77;-1.68;26.282146985166634;23.660301483336543;7.199999999999999;12.8
2023;38;1282526;173.0;5.54;4.91;0.63;25.194654923175047;24.85056833155819;5.7;11.3
2023;41;328271;52.0;-0.91;-1.63;0.72;22.39978554304218;32.479567186866944;5.8999999999999995;12.5
2023;49;823052;115.0;4.14;3.26;0.88;25.0321972366266;26.93268469063923;6.3;11.1
2023;47;329989;62.0;-0.27;-2.7;2.44;21.291618811536143;34.233868401673995;7.3;16.8
2023;17;659379;96.0;5.390000000000001;-3.91;9.3;19.946040137765987;35.915308191495335;6.7;12.4
2023;8;268216;51.0;-5.26;-0.65;-4.61;23.27452500969368;29.431875801592746;9.2;18.3
2023;91;1308892;726.0;6.83;9.5;-2.67;26.98687133850616;21.118014320509253;6.3;13.2
2023;83;1094127;183.0;8.04;-1.04;9.08;20.49816885973932;33.72432999094255;7.199999999999999;15.3
2023;7;330012;60.0;4.01;-2.09;6.1;21.69133243639625;33.04273783983613;7.9;14.3
2023;76;1254334;200.0;0.24;2.41;-2.17;24.139184619088695;27.109525851966065;7.5;14.6
