Année publication;;Code département;Nombre de logements;Taux de logements sociaux* (en %);Taux de logements vacants* (en %)
2022;;60;378048;20.0;7.0
2022;;71;311966;17.0;10.0
2022;;14;422082;19.0;7.0
2022;;27;298148;17.0;8.0
2022;;2A;122005;9.0;3.0
2022;;54;379680;16.0;9.0
2022;;7;206435;9.0;10.0
2022;;43;143916;8.0;12.0
2022;;6;778291;11.0;8.0
2022;;70;128450;11.0;11.0
2022;;58;141411;13.0;14.0
2022;;38;659031;17.0;8.0
2022;;23;88646;10.0;16.0
2022;;65;163634;12.0;10.0
2022;;89;197718;14.0;12.0
2022;;974;383878;23.35549863044494;9.0
2022;;67;567991;14.0;8.0
2022;;40;262370;7.0;7.0
2022;;56;472749;11.0;7.0
2022;;84;308505;14.0;10.0
2022;;34;739737;12.0;7.0
2022;;53;158083;12.0;9.0
2022;;972;214788;20.485765955663076;16.0
2022;;95;517063;27.0;6.0
2022;;28;217440;18.0;9.0
2022;;68;382805;15.0;9.0
2022;;46;119499;6.0;11.0
2022;;39;150475;12.0;10.0
2022;;16;198920;10.0;11.0
2022;;3;208863;12.0;15.0
2022;;66;355661;11.0;8.0
2022;;42;401112;17.0;10.0
2022;;10;166101;22.0;10.0
2022;;94;647289;30.0;6.0
2022;;29;549039;11.0;7.0
2022;;30;431684;12.0;8.0
2022;;86;242907;13.0;10.0
2022;;971;231840;21.45048203330412;15.0
2022;;47;187058;7.0;12.0
2022;;69;937544;21.0;7.0
2022;;9;110526;5.0;10.0
2022;;50;299656;17.0;8.0
2022;;92;807711;28.0;6.0
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
2023;;5;138751;12.0;6.0
2023;;61;164988;16.0;11.0
2023;;28;218433;18.0;9.0
2023;;36;138959;16.0;13.0
2023;;15;102234;9.0;12.0
2023;;77;634163;19.0;7.000000000000001
2023;;2;267555;18.0;10.0
2023;;6;783398;12.0;8.0
2023;;26;279948;13.0;9.0
2023;;42;403254;17.0;10.0
2023;;66;359151;11.0;8.0
2023;;35;546440;16.0;7.000000000000001
2023;;37;330454;18.0;9.0
2023;;87;221779;14.000000000000002;10.0
2023;;55;100007;12.0;12.0
2023;;68;386082;15.0;9.0
2023;;69;949531;21.0;7.000000000000001
2023;;14;426069;19.0;7.000000000000001
2023;;71;312880;17.0;10.0
2023;;57;527832;17.0;9.0
2023;;75;1393800;21.0;9.0
2023;;50;301071;16.0;8.0
2023;;84;311098;14.000000000000002;10.0
2023;;45;351028;17.0;9.0
2023;;2A;123650;9.0;3.0
2023;;79;196421;9.0;9.0
2023;;4;130500;10.0;8.0
2023;;73;355575;17.0;6.0
2023;;19;155575;9.0;11.0
2023;;16;199746;10.0;11.0
2023;;67;575001;14.000000000000002;8.0
2023;;973;88986;26.0;10.0
2023;;64;417293;12.0;8.0
2023;;81;215987;9.0;9.0
2023;;29;542677;12.0;7.000000000000001
2023;;89;197870;14.000000000000002;12.0
2023;;78;654741;22.0;6.0
2023;;62;724156;26.0;7.000000000000001
2023;;3;209251;12.0;15.0
2023;;1;325431;17.0;8.0
2023;;82;134694;8.0;10.0
2023;;53;158874;12.0;9.0
2023;;58;141219;13.0;14.000000000000002
2023;;972;212577;21.0;15.0
2023;;70;128855;11.0;11.0
2023;;65;164545;11.0;10.0
2023;;52;100520;19.0;12.0
2023;;88;214812;14.000000000000002;11.0
2023;;971;227525;22.0;15.0
2023;;2B;135125;11.0;3.0
2023;;85;435953;8.0;5.0
2023;;18;179389;15.0;13.0
2023;;93;696152;37.0;6.0
2023;;54;381849;16.0;9.0
2023;;43;144442;8.0;12.0
2023;;95;523106;27.0;6.0
2023;;74;533337;14.000000000000002;7.000000000000001
2023;;33;900198;15.0;6.0
2023;;92;815765;28.000000000000004;7.000000000000001
2023;;13;1055315;18.0;8.0
2023;;9;110875;5.0;9.0
2023;;974;369895;25.0;9.0
2023;;11;266877;10.0;8.0
2023;;80;305380;17.0;8.0
2023;;25;285770;15.0;9.0
2023;;51;299421;28.000000000000004;9.0
2023;;72;294778;16.0;9.0
2023;;27;299419;16.0;8.0
2023;;56;464186;11.0;7.000000000000001
2023;;30;435785;12.0;9.0
2023;;31;754396;15.0;7.000000000000001
2023;;63;394760;14.000000000000002;10.0
2023;;22;366683;9.0;9.0
2023;;21;294776;15.0;9.0
2023;;24;262321;7.000000000000001;10.0
2023;;40;265930;8.0;7.000000000000001
2023;;94;654340;30.0;6.0
2023;;32;112134;7.000000000000001;10.0
2023;;59;1241241;25.0;8.0
2023;;23;88769;10.0;16.0
2023;;86;243821;13.0;9.0
2023;;46;120123;6.0;11.0
2023;;12;183702;7.000000000000001;11.0
2023;;34;750002;13.0;7.000000000000001
2023;;44;776207;15.0;6.0
2023;;10;166928;23.0;9.0
2023;;48;61734;8.0;10.0
2023;;39;151009;12.0;10.0
2023;;90;73384;22.0;11.0
2023;;60;380003;20.0;7.000000000000001
2023;;38;665362;17.0;8.0
2023;;41;185591;14.000000000000002;11.0
2023;;49;403157;18.0;7.000000000000001
2023;;47;188120;7.000000000000001;12.0
2023;;17;445578;10.0;7.000000000000001
2023;;8;143402;20.0;12.0
2023;;91;577712;24.0;7.000000000000001
2023;;83;735547;11.0;6.0
2023;;7;207922;9.0;10.0
2023;;76;653680;26.0;8.0
